game_name,console,game_type,finished,published_year,played_year,hours_played,perso_score,multiplayed
Final Fantasy VI,SNES,JRPG,0,1994,2019,10,79,0
Final Fantasy VII,PS1,JRPG,1,1997,2018,80,99,0
Final Fantasy VIII,PS1,JRPG,1,1998,2000,70,95,0
Final Fantasy IX,PS1,JRPG,1,2000,2019,70,95,0
Final Fantasy X,PS2,JRPG,1,2000,2003,200,99,0
Final Fantasy X-2,PS2,JRPG,1,2004,2004,50,86,0
Final Fantasy XV,PS4,JRPG|Open World,1,2015,2017,80,95,0
Final Fantasy VII Remake,PS4,JRPG,1,2020,2020,50,99,0
The Witcher 3: Wild Hunt,PS4|PC,RPG|Open World,1,2015,2018,300,100,0
The Witcher 2: Assassins of Kings,PC,RPG|Open World,0,2011,2018,15,85,0
The Witcher,PC,RPG|Open World,0,2008,2018,15,85,0
Grand Theft Auto,PC,Open World|Action-Adventure,1,1997,1998,20,88,1
Grand Theft Auto: Vice City,PS2,Open World|Action-Adventure,1,2002,2003,100,93,1
Grand Theft Auto: San Andreas,PS2,Open World|Action-Adventure,1,2004,2005,200,99,1
Grand Theft Auto IV,PS3,Open World|Action-Adventure,1,2008,2016,35,94,0
Grand Theft Auto V,PS3|PC,Open World|Action-Adventure,1,2013,2014,210,100,1
Kingdom Hearts,PS2,Action|JRPG,1,2002,2008,30,90,0
Kingdom Hearts II,PS2,Action|JRPG,1,2005,2009,50,98,0
Kingdom Hearts III,PS4,Action|JRPG,1,2019,2019,40,95,1
Kingdom Hearts: Birth by Sleep,PSP,Action|JRPG,1,2010,2017,35,92,0
The Legend of Zelda: The Wind Waker,GameCube,Action-Adventure,0,2002,2008,35,91,0
The Legend of Zelda: A Link to the Past,SNES,Action-Adventure,0,1991,2020,20,91,0
The Legend of Zelda: Twilight Princess,Wii,Action-Adventure,0,2006,2010,40,98,0
The Legend of Zelda: Link's Awakening,GameBoy,Action-Adventure,1,1993,2001,20,90,0
The Legend of Zelda: Breath to the Wild,Switch,Action-Adventure|Open World,1,2016,2020,110,100,1
The Legend of Zelda: Tears of the Kingdom,Switch,Action-Adventure|Open World,0,2023,2023,22,100,1
The Legend of Zelda: Ocarina of Time,N64,Action-Adventure,0,1998,2017,20,92,0
Red Dead Redemption 2,PS4,Action-Adventure|Open World,1,2018,2018,60,96,0
Spiderman,PS4,Action|Platformer,1,2018,2020,30,90,0
God of War IV,PS4,Action|Beat'em All,0,2018,2020,75,99,0
God of War III,PS4,Action|Beat'em All,0,2015,2020,35,92,0
