"id","game_name","console","game_type","finished","published_year","played_year","hours_played","perso_score","multiplayed"
7,Final Fantasy VI,SNES,JRPG,false,1994,2019,10,79,false
8,Final Fantasy VII,PS1,JRPG,true,1997,2018,80,99,false
9,Final Fantasy VIII,PS1,JRPG,true,1998,2000,70,95,false
10,Final Fantasy IX,PS1,JRPG,true,2000,2019,70,95,false
11,Final Fantasy X,PS2,JRPG,true,2000,2003,200,99,false
12,Final Fantasy X-2,PS2,JRPG,true,2004,2004,50,86,false
13,Final Fantasy XV,PS4,JRPG|Open World,true,2015,2017,80,95,false
14,Final Fantasy VII Remake,PS4,JRPG,true,2020,2020,50,99,false
15,The Witcher 3: Wild Hunt,PS4|PC,RPG|Open World,true,2015,2018,300,100,false
16,The Witcher 2: Assassins of Kings,PC,RPG|Open World,false,2011,2018,15,85,false
17,The Witcher,PC,RPG|Open World,false,2008,2018,15,85,false
18,Grand Theft Auto,PC,Open World|Action-Adventure,true,1997,1998,20,88,true
19,Grand Theft Auto: Vice City,PS2,Open World|Action-Adventure,true,2002,2003,100,93,true
20,Grand Theft Auto: San Andreas,PS2,Open World|Action-Adventure,true,2004,2005,200,99,true
21,Grand Theft Auto IV,PS3,Open World|Action-Adventure,true,2008,2016,35,94,false
22,Grand Theft Auto V,PS3|PC,Open World|Action-Adventure,true,2013,2014,210,100,true
23,Kingdom Hearts,PS2,Action|JRPG,true,2002,2008,30,90,false
24,Kingdom Hearts II,PS2,Action|JRPG,true,2005,2009,50,98,false
25,Kingdom Hearts III,PS4,Action|JRPG,true,2019,2019,40,95,true
26,Kingdom Hearts: Birth by Sleep,PSP,Action|JRPG,true,2010,2017,35,92,false
27,The Legend of Zelda: The Wind Waker,GameCube,Action-Adventure,false,2002,2008,35,91,false
28,The Legend of Zelda: A Link to the Past,SNES,Action-Adventure,false,1991,2020,20,91,false
29,The Legend of Zelda: Twilight Princess,Wii,Action-Adventure,false,2006,2010,40,98,false
30,The Legend of Zelda: Link's Awakening,GameBoy,Action-Adventure,true,1993,2001,20,90,false
31,The Legend of Zelda: Breath to the Wild,Switch,Action-Adventure|Open World,false,2016,2020,110,99,true
32,The Legend of Zelda: Ocarina of Time,N64,Action-Adventure,false,1998,2017,20,92,false
33,Red Dead Redemption 2,PS4,Action-Adventure|Open World,true,2018,2018,60,96,false
