id,game_name,console,game_type,finished,published_year,played_year,hours_played,perso_score,multiplayed,comp_100,comp_all,comp_main,comp_plus,platform,developer
0,Final Fantasy VI,SNES,JRPG,0,1994,2019,10,79,0,61.38,41.25,34.29,40.76,"Game Boy Advance, Mobile, Nintendo Switch, PC, PlayStation, PlayStation 4, Super Nintendo",Square
1,Final Fantasy VII,PS1,JRPG,1,1997,2018,80,99,0,79.22,52.22,39.88,53.68,"Nintendo Switch, PC, PlayStation, PlayStation 4, Xbox One",Square
2,Final Fantasy VIII,PS1,JRPG,1,1998,2000,70,95,0,79.22,52.22,39.88,53.68,"Nintendo Switch, PC, PlayStation, PlayStation 4, Xbox One",Square
3,Final Fantasy IX,PS1,JRPG,1,2000,2019,70,95,0,30.15,23.99,21.27,24.64,"Game Boy Advance, Mobile, Nintendo Switch, PC, PlayStation, PlayStation 4, PlayStation Portable, Super Nintendo, WonderSwan",Square
4,Final Fantasy X,PS2,JRPG,1,2000,2003,200,99,0,106.3,61.5,49.2,60.91,"Emulated, PlayStation 2",Square Enix
5,Final Fantasy X-2,PS2,JRPG,1,2004,2004,50,86,0,21.65,16.59,13.08,17.23,"Nintendo Switch, PC, PlayStation 2, PlayStation 3, PlayStation 4, PlayStation Vita, Xbox One",Square Enix
6,Final Fantasy XV,PS4,JRPG|Open World,1,2015,2017,80,95,0,11.27,6.53,2.5,5.42,"PlayStation 4, PlayStation VR",Square Enix
7,Final Fantasy VII Remake,PS4,JRPG,1,2020,2020,50,99,0,86.15,42.54,32.94,41.59,"PC, PlayStation 4, PlayStation 5",Square Enix
8,The Witcher 3: Wild Hunt,PS4,RPG|Open World,1,2015,2018,300,100,0,188.16,131.84,55.95,125.78,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",CD Projekt RED
9,The Witcher 2: Assassins of Kings,PC,RPG|Open World,0,2011,2018,15,85,0,55.85,32.91,24.08,34.18,"Linux, Mac, PC, Xbox 360",CD Projekt RED STUDIO
10,The Witcher,PC,RPG|Open World,0,2008,2018,15,85,0,32.14,12.34,5.14,10.42,PC,"CD Projekt RED, Can Explode"
11,Grand Theft Auto,PC,Open World|Action-Adventure,1,1997,1998,20,88,1,0,7.97,7.97,0,"PC, PlayStation 2",Barcode Studia
12,Grand Theft Auto: Vice City,PS2,Open World|Action-Adventure,1,2002,2003,100,93,1,40.98,19.97,15.5,25.08,"Mobile, PlayStation 2, PlayStation 4, PlayStation Portable","Rockstar Leeds, Rockstar North"
13,Grand Theft Auto: San Andreas,PS2,Open World|Action-Adventure,1,2004,2005,200,99,1,76.25,41.92,30.43,45.45,"Mobile, Nintendo Switch, PC, PlayStation 2, PlayStation 3, PlayStation 4, Xbox, Xbox 360",Rockstar North
14,Grand Theft Auto IV,PS3,Open World|Action-Adventure,1,2008,2016,35,94,0,102.63,49.5,33.15,53.46,"PC, PlayStation 3, Xbox 360",Rockstar North
15,Grand Theft Auto V,PS3,Open World|Action-Adventure,1,2013,2014,210,100,1,74.24,34.4,27.39,40.74,"PC, PlayStation 3, Xbox 360","Rockstar North, Rockstar Toronto (PC)"
16,Kingdom Hearts,PS2,Action|JRPG,1,2002,2008,30,90,0,68.4,38.07,29.62,40.04,"PC, PlayStation 2, PlayStation 3, PlayStation 4, Xbox One",Square Enix
17,Kingdom Hearts II,PS2,Action|JRPG,1,2005,2009,50,98,0,68.4,38.07,29.62,40.04,"PC, PlayStation 2, PlayStation 3, PlayStation 4, Xbox One",Square Enix
18,Kingdom Hearts III,PS4,Action|JRPG,1,2019,2019,40,95,1,63.9,37.38,28.92,39.78,"PC, PlayStation 4, Xbox One",Square Enix 1st Production Department
20,The Legend of Zelda: The Wind Waker,GameCube,Action-Adventure,0,2002,2008,35,91,0,59.64,34.14,28.98,34.86,"Nintendo GameCube, Wii U",Nintendo EAD
21,The Legend of Zelda: A Link to the Past,SNES,Action-Adventure,0,1991,2020,20,91,0,0,6.07,4.67,8.78,Super Nintendo,
22,The Legend of Zelda: Twilight Princess,Wii,Action-Adventure,0,2006,2010,40,98,0,55.75,43.66,37.32,45.52,"Nintendo GameCube, Wii",Nintendo EAD
25,The Legend of Zelda: Tears of the Kingdom,Switch,Action-Adventure|Open World,0,2023,2023,22,100,1,236.58,109.62,58.97,114.57,Nintendo Switch,Nintendo EPD
26,The Legend of Zelda: Ocarina of Time,N64,Action-Adventure,0,1998,2017,20,92,0,34.6,25.81,19.98,27.85,"Nintendo 3DS, Nintendo 64, Nintendo GameCube",Nintendo
27,Red Dead Redemption 2,PS4,Action-Adventure|Open World,1,2018,2018,60,96,0,182.03,77.16,50.23,81.59,"Google Stadia, PC, PlayStation 4, Xbox One",Rockstar Studios
30,God of War III,PS4,Action|Beat'em All,0,2015,2020,35,92,0,17.65,10.6,9.95,10.92,"PlayStation 3, PlayStation 4",Santa Monica Studio
31,Uncharted: Drake's Fortune,PS4,Action-Adventure|Platformer,1,2007,2020,10,68,1,0,0,0,0,PlayStation 4,Sony Computer Entertainment America
32,Uncharted 2: Among Thieves,PS4,Action-Adventure|Platformer,1,2009,2020,10,87,1,21.52,11.41,10.46,12.31,"PlayStation 3, PlayStation 4",Naughty Dog
33,Uncharted 3: Drake's Deception,PS4,Action-Adventure|Platformer,0,2011,2020,10,80,1,19.97,9.85,9.09,10.62,"PlayStation 3, PlayStation 4",Naughty Dog
34,Uncharted: The Nathan Drake Collection,PS4,Action-Adventure|Platformer,1,2015,2020,30,83,1,64.05,30.53,27.32,32.35,PlayStation 4,Bluepoint Games
35,Uncharted 4: A Thief's End,PS4,Action-Adventure|Platformer,0,2016,2020,10,90,1,31.27,16.36,15.1,17.76,"PC, PlayStation 4, PlayStation 5",Naughty Dog
36,Horizon Zero Dawn,PS4,Action-Adventure|Open World,0,2017,2019,10,91,1,76.31,54.75,29.74,52.5,"PC, PlayStation 4",Guerrilla Games
37,Journey,PS4,Action-Adventure|Platformer,1,2012,2019,5,86,1,1.15,1.11,1.08,0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",EpiXR Games
38,Heavy Rain,PS3,Narrative,1,2010,2016,15,79,1,21.98,10.84,9.98,12.09,"PC, PlayStation 3, PlayStation 4",Quantic Dream
