id,game_name,console,game_type,finished,published_year,played_year,hours_played,perso_score,multiplayed,fuzz,game_title,game_platform,game_release_date,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,metascore,Critic_Count,user _score,User_Count,Developer,Rating,game_summary
2,Final Fantasy VII,PS1,JRPG,TRUE,1997,2018,80,99,FALSE,Final Fantasy VII,Final Fantasy VII,PS1,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92,20,9.2,1282,SquareSoft,T,
3,Final Fantasy VIII,PS1,JRPG,TRUE,1998,2000,70,95,FALSE,Final Fantasy VIII,Final Fantasy VIII,PS1,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90,24,8.6,644,SquareSoft,T,
4,Final Fantasy IX,PS1,JRPG,TRUE,2000,2019,70,95,FALSE,Final Fantasy IX,Final Fantasy IX,PS1,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,94,22,8.9,779,SquareSoft,T,
5,Final Fantasy X,PS2,JRPG,TRUE,2000,2003,200,99,FALSE,Final Fantasy X,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92,53,8.7,1056,SquareSoft,T,
6,Final Fantasy X-2,PS2,JRPG,TRUE,2004,2004,50,86,FALSE,Final Fantasy X-2,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85,45,6.6,400,SquareSoft,T,
7,Final Fantasy XV,PS4,JRPG,TRUE,2015,2017,80,95,FALSE,Final Fantasy XV,Final Fantasy XV,PS4,2016,JRPG,Square Enix,,,,,9,81,,7.6,,,,
7,Final Fantasy XV,PS4,Open World,TRUE,2015,2017,80,95,FALSE,Final Fantasy XV,Final Fantasy XV,PS4,2016,JRPG,Square Enix,,,,,9,81,,7.6,,,,
8,Final Fantasy XVI,PS5,JRPG,TRUE,2023,2023,45,68,FALSE,Final Fantasy XVI,Final Fantasy XVI,PS5,22/06/2023,,,,,,,,87,,8.2,,,,"Introducing FINAL FANTASY XVI Coming to PlayStation 5. An all-new title in the legendary FINAL FANTASY series.  FINAL FANTASY XVI is the newest entry in the FINAL FANTASY series, coming to the PlayStation 5 (PS5) system. FINAL FANTASY XVI is an all-new standalone single player action RPG produced by Naoki Yoshida (FINAL FANTASY XIV, DRAGON QUEST X) and directed by Hiroshi Takai (FINAL FANTASY XIV, THE LAST REMNANT)."
9,Final Fantasy VII Remake,PS4,JRPG,TRUE,2020,2020,50,96,FALSE,Final Fantasy VII Remake,Final Fantasy VII Remake,PS4,2020,JRPG,Square Enix,,,,,4,88,,8,,,,
11,The Witcher 3: Wild Hunt,PS4,RPG,TRUE,2015,2018,300,100,FALSE,The Witcher 3: Wild Hunt,The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,1.02,2.13,0.23,0.59,3.97,92,79,9.2,10179,CD Projekt Red Studio,M,
11,The Witcher 3: Wild Hunt,PS4,Open World,TRUE,2015,2018,300,100,FALSE,The Witcher 3: Wild Hunt,The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,1.02,2.13,0.23,0.59,3.97,92,79,9.2,10179,CD Projekt Red Studio,M,
12,The Witcher 2: Assassins of Kings,PC,RPG,FALSE,2011,2018,15,85,FALSE,The Witcher 2: Assassins of Kings,The Witcher 2: Assassins of Kings,PC,2011,Action,Namco Bandai Games,0.25,0.56,0,0.14,0.96,88,76,8.5,4378,CD Projekt Red Studio,M,
12,The Witcher 2: Assassins of Kings,PC,Open World,FALSE,2011,2018,15,85,FALSE,The Witcher 2: Assassins of Kings,The Witcher 2: Assassins of Kings,PC,2011,Action,Namco Bandai Games,0.25,0.56,0,0.14,0.96,88,76,8.5,4378,CD Projekt Red Studio,M,
13,The Witcher,PC,RPG,FALSE,2008,2018,15,85,FALSE,The Witcher,The Witcher,PC,2007,Role-Playing,Atari,0,0.05,0,0.01,0.06,81,50,8.8,1116,CD Projekt Red Studio,M,
13,The Witcher,PC,Open World,FALSE,2008,2018,15,85,FALSE,The Witcher,The Witcher,PC,2007,Role-Playing,Atari,0,0.05,0,0.01,0.06,81,50,8.8,1116,CD Projekt Red Studio,M,
14,Grand Theft Auto,PC,Open World,TRUE,1997,1998,20,88,TRUE,Grand Theft Auto,Grand Theft Auto,PC,1998,Action-Adventure|Open World,Rockstar,,,,,0.4,69,,8.1,,,,
14,Grand Theft Auto,PC,Action-Adventure,TRUE,1997,1998,20,88,TRUE,Grand Theft Auto,Grand Theft Auto,PC,1998,Action-Adventure|Open World,Rockstar,,,,,0.4,69,,8.1,,,,
15,Grand Theft Auto: Vice City,PS2,Open World,TRUE,2002,2003,100,93,TRUE,Grand Theft Auto: Vice City,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95,62,8.7,730,Rockstar North,M,
15,Grand Theft Auto: Vice City,PS2,Action-Adventure,TRUE,2002,2003,100,93,TRUE,Grand Theft Auto: Vice City,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95,62,8.7,730,Rockstar North,M,
16,Grand Theft Auto: San Andreas,PS2,Open World,TRUE,2004,2005,200,99,TRUE,Grand Theft Auto: San Andreas,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95,80,9,1588,Rockstar North,M,
16,Grand Theft Auto: San Andreas,PS2,Action-Adventure,TRUE,2004,2005,200,99,TRUE,Grand Theft Auto: San Andreas,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95,80,9,1588,Rockstar North,M,
17,Grand Theft Auto IV,PS3,Open World,TRUE,2008,2016,35,94,FALSE,Grand Theft Auto IV,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98,64,7.5,2833,Rockstar North,M,
17,Grand Theft Auto IV,PS3,Action-Adventure,TRUE,2008,2016,35,94,FALSE,Grand Theft Auto IV,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98,64,7.5,2833,Rockstar North,M,
18,Grand Theft Auto V,PS3,Open World,TRUE,2013,2014,210,100,TRUE,Grand Theft Auto V,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97,50,8.2,3994,Rockstar North,M,
18,Grand Theft Auto V,PS3,Action-Adventure,TRUE,2013,2014,210,100,TRUE,Grand Theft Auto V,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97,50,8.2,3994,Rockstar North,M,
19,Kingdom Hearts,PS2,Action,TRUE,2002,2008,30,90,FALSE,Kingdom Hearts,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85,46,8.8,597,SquareSoft,E,
19,Kingdom Hearts,PS2,JRPG,TRUE,2002,2008,30,90,FALSE,Kingdom Hearts,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85,46,8.8,597,SquareSoft,E,
20,Kingdom Hearts II,PS2,Action,TRUE,2005,2009,50,98,FALSE,Kingdom Hearts II,Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,2.2,0.58,1.38,0.17,4.33,87,64,9,766,Square Enix,E10+,
20,Kingdom Hearts II,PS2,JRPG,TRUE,2005,2009,50,98,FALSE,Kingdom Hearts II,Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,2.2,0.58,1.38,0.17,4.33,87,64,9,766,Square Enix,E10+,
21,Kingdom Hearts III,PS4,Action,TRUE,2019,2019,40,95,TRUE,Kingdom Hearts III,Kingdom Hearts III,PS4,2018,Action|JRPG,Square Enix,,,,,7,83,,8.1,,,,
21,Kingdom Hearts III,PS4,JRPG,TRUE,2019,2019,40,95,TRUE,Kingdom Hearts III,Kingdom Hearts III,PS4,2018,Action|JRPG,Square Enix,,,,,7,83,,8.1,,,,
22,Kingdom Hearts: Birth by Sleep,PSP,Action,TRUE,2010,2017,35,92,FALSE,Kingdom Hearts: Birth by Sleep,Kingdom Hearts: Birth by Sleep,PSP,2010,Role-Playing,Square Enix,0.63,0.41,0.75,0.26,2.06,82,62,8.6,208,Square Enix,E10+,
22,Kingdom Hearts: Birth by Sleep,PSP,JRPG,TRUE,2010,2017,35,92,FALSE,Kingdom Hearts: Birth by Sleep,Kingdom Hearts: Birth by Sleep,PSP,2010,Role-Playing,Square Enix,0.63,0.41,0.75,0.26,2.06,82,62,8.6,208,Square Enix,E10+,
